article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_1;2;1;15;2,3884615384615415;2;78;152;39,0;1,9487179487179487;0;2;1
CRD_2;15;7;106;-9,774551971326133;9;496;942;55,111111111111114;1,8991935483870968;1;9,75164024739879e+22;1
CRD_3;83;17;329;-173,6172064056939;7;1686;2710;240,85714285714286;1,6073546856465006;7;8,865127497635262e+22;489
CRD_4;37;25;132;31,855466824644566;20;422;766;21,1;1,8151658767772512;0;37;1
CRD_5;2;1;16;11,998040540540558;2;37;77;18,5;2,081081081081081;0;2;1
CRD_6;28;9;65;-68,43603448275859;2;232;432;116,0;1,8620689655172413;1;68,7;1
CRD_7;4;2;13;3,380000000000024;2;80;154;40,0;1,925;0;4;1
CRD_8;20;14;96;34,21913763066203;14;287;515;20,5;1,7944250871080138;5;8,865127497635262e+22;489
CRD_8a;21;14;142;30,072538057742833;15;508;855;33,86666666666667;1,6830708661417322;3;8,865127497635262e+22;489
CRD_9;8;6;58;37,799945355191284;9;183;321;20,333333333333332;1,7540983606557377;0;8;1
CRD_10;11;6;37;11,449125683060146;6;122;252;20,333333333333332;2,0655737704918034;1;8,865127497635262e+22;489
CRD_11;3;2;10;29,180000000000007;1;25;45;25,0;1,8;0;3;1
CRD_12;10;8;43;45,047159833630445;9;187;311;20,77777777777778;1,6631016042780749;2;8,865127497635262e+22;489
CRD_13;7;5;38;41,317430656934334;5;137;223;27,4;1,6277372262773722;1;8,865127497635262e+22;489
CRD_14;33;19;131;16,93798591239272;11;413;741;37,54545454545455;1,7941888619854722;3;8,865127497635262e+22;489
CRD_15;7;4;29;8,667500000000018;2;80;149;40,0;1,8625;0;7;1
CRD_16;29;15;89;4,125;7;270;522;38,57142857142857;1,9333333333333333;0;29;1
CRD_17;11;7;32;28,948750000000018;2;64;110;32,0;1,71875;13;1,1311902686982597e+24;1
CRD_18;15;3;83;-175,29749999999996;1;240;393;240,0;1,6375;6;8,865127497635262e+22;489
CRD_19;2;1;17;16,553598901098923;2;91;155;45,5;1,7032967032967032;0;2;1
CRD_20;14;11;92;44,98538461538462;13;208;358;16,0;1,7211538461538463;6;5,850984148439274e+23;1
CRD_21;8;7;39;50,89698198198201;6;148;229;24,666666666666668;1,5472972972972974;19;2,2292249605553628e+24;1
CRD_21a;209;108;627;3,7551307833412864;41;1795;3366;43,78048780487805;1,875208913649025;11;8,865127497635262e+22;489
CRD_21b;64;41;257;26,000384615384633;26;900;1550;34,61538461538461;1,7222222222222223;2;8,865127497635262e+22;489
CRD_22;55;39;265;35,024720670391076;29;716;1242;24,689655172413794;1,73463687150838;2;8,865127497635262e+22;489
CRD_23;32;18;167;13,97285714285718;12;504;895;42,0;1,7757936507936507;2;8,865127497635262e+22;489
CRD_24;18;9;83;-2,376811594202877;6;230;463;38,333333333333336;2,0130434782608697;0;18;1
CRD_25;10;6;51;24,01180048661803;3;137;221;45,666666666666664;1,6131386861313868;0;10;1
CRD_26;22;13;91;16,218484848484877;7;297;518;42,42857142857143;1,7441077441077442;10;8,865127497635262e+22;489
CRD_27;4;2;44;7,937413793103474;3;174;288;58,0;1,6551724137931034;4;2,925492074219637e+23;1
CRD_33;11;5;32;-14,801999999999964;1;75;129;75,0;1,72;10;8,865127497635262e+22;489
CRD_34;37;19;126;1,8938043478261193;8;460;797;57,5;1,732608695652174;11;8,865127497635262e+22;489
CRD_35;30;21;137;33,82989667420085;19;489;849;25,736842105263158;1,7361963190184049;2;8,865127497635262e+22;489
