article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRR_317;31;17;173;9,99593248945149;2;93,7335;2
CRR_318;30;18;106;19,83907894736842;1;93,7335;2
CRR_319;14;8;58;18,127811320754716;0;14;1
CRR_320;15;8;56;9,172413793103487;1;5,390120975310237e+16;339
CRR_321;27;10;52;-41,118382352941154;1;5,390120975310237e+16;339
CRR_322;92;48;328;5,479700784528404;3;5,390120975310237e+16;339
CRR_323;29;17;127;19,14268231768233;0;29;1
CRR_324;10;2;43;-169,4721428571428;1;5,390120975310237e+16;339
CRR_325;14;9;63;23,876376146789028;0;14;1
CRR_326;7;5;15;38,29367647058825;0;7;1
CRR_327;20;14;64;34,98554878048782;4;5,390120975310237e+16;339
CRR_328;8;6;72;40,153474747474775;1;5,390120975310237e+16;339
CRR_329;11;8;71;36,31536689419795;0;11;1
CRR_330;3;2;19;21,80162162162165;0;3;1
CRR_331;9;6;65;26,785465116279084;4;5,390120975310237e+16;339
CRR_332;44;28;213;26,33832887700538;1;72,6;1
CRR_333;3;2;17;15,721612903225804;0;3;1
CRR_334;5;3;17;24,3771428571429;0;5;1
CRR_335;5;3;16;29,77636363636364;0;5;1
CRR_336;26;16;189;21,322703079457625;2;5,390120975310237e+16;339
CRR_337;33;21;181;26,06754230118443;6;5,390120975310237e+16;339
CRR_338;26;14;120;10,066243869209814;0;26;1
CRR_339;23;27;273;69,16424778761063;0;23;1
CRR_340;17;15;151;53,34563636363637;1;42,3;1
CRR_341;7;6;46;50,33956896551726;1;5,390120975310237e+16;339
CRR_342;3;2;11;28,62068965517244;0;3;1
CRR_343;3;2;8;32,56400000000002;0;3;1
CRR_344;9;7;60;38,817500000000024;0;9;1
CRR_345;8;7;43;55,44959770114943;0;8;1
CRR_346;33;25;142;40,73104651162791;0;33;1
CRR_347;12;6;43;-4,5276591760299425;2;5,390120975310237e+16;339
CRR_348;9;8;37;49,39433333333335;4;5,390120975310237e+16;339
CRR_349;81;18;79;-149,99173913043475;1;5,390120975310237e+16;339
CRR_350;43;25;149;16,697136343579956;2;5,390120975310237e+16;339
CRR_351;9;5;40;14,168301886792477;1;5,390120975310237e+16;339
CRR_352;17;12;171;35,932844371941286;1;5,390120975310237e+16;339
CRR_353;21;15;88;34,53276315789475;2;5,390120975310237e+16;339
CRR_354;24;18;97;39,20429240441368;1;5,390120975310237e+16;339
CRR_355;2;2;9;48,09621621621622;4;161,95100000000002;1
CRR_356;10;6;45;22,63481557377051;0;10;1
CRR_357;11;8;61;34,441525125628175;2;68,31;1
CRR_358;23;16;126;33,070879363449706;1;46,1;1
CRR_359;21;20;119;57,89941232435598;0;21;1
CRR_360;6;5;28;52,79818181818183;0;6;1
CRR_361;11;6;40;11,5254166666667;1;34,1;1
CRR_362;7;4;37;17,73012820512824;0;7;1
CRR_363;26;16;102;23,212217458223392;1;5,390120975310237e+16;339
CRR_364;39;18;137;-10,753112094395277;6;5,390120975310237e+16;339
CRR_365;15;9;70;20,462924528301926;1;5,390120975310237e+16;339
CRR_366;21;16;121;39,714462273161445;1;5,390120975310237e+16;339
CRR_367;52;32;203;22,85237222116666;1;5,390120975310237e+16;339
CRR_368;80;38;215;-5,598465859982696;0;80;1
CRR_369;24;14;89;17,170784313725534;0;24;1
CRR_370;14;6;40;-21,274360465116274;0;14;1
CRR_371;5;4;27;51,21075229357797;3;5,390120975310237e+16;339
CRR_372;15;7;51;-8,86217755443883;9;5,390120975310237e+16;339
CRR_373;7;4;33;15,289122807017549;1;5,390120975310237e+16;339
CRR_374;30;20;145;30,001614823348717;0;30;1
CRR_375;8;5;73;18,29636704119855;0;8;1
CRR_376;26;16;109;21,649934222890465;0;26;1
CRR_377;46;30;201;27,234805194805233;5;5,390120975310237e+16;339
CRR_378;5;3;48;25,944370805369147;0;5;1
CRR_379;8;5;112;28,502677143644917;2;5,390120975310237e+16;339
CRR_380;6;5;21;46,89563063063065;2;5,390120975310237e+16;339
CRR_381;0;0;12;19,515135135135154;0;0;1
CRR_382;46;27;139;18,077391499551055;3;5,390120975310237e+16;339
CRR_383;94;55;387;17,677305171158082;9;5,390120975310237e+16;339
CRR_384;25;18;178;37,57692458758842;5;5,390120975310237e+16;339
CRR_385;5;2;18;-23,92078947368418;3;5,390120975310237e+16;339
CRR_386;20;14;111;34,29862089201879;2;5,390120975310237e+16;339
CRR_387;1;1;7;40,2858823529412;0;1;1
CRR_388;3;2;24;40,03090909090912;2;1,1858266145682522e+17;1
CRR_389;0;0;8;38,36714285714288;0;0;1
CRR_390;30;19;198;25,036627906976747;10;5,390120975310237e+16;339
CRR_391;12;5;25;-27,260263157894713;0;12;1
CRR_392;2;1;10;28,00710526315791;0;2;1
CRR_393;2;1;18;-21,928913043478218;0;2;1
CRR_394;34;20;127;16,867967409948562;1;5,390120975310237e+16;339
CRR_395;120;74;445;23,074290693621492;14;5,390120975310237e+16;339
CRR_396;20;14;48;32,56423529411768;3;5,390120975310237e+16;339
CRR_397;21;19;85;52,84500000000003;2;5,390120975310237e+16;339
CRR_398;19;9;46;-5,043220338983019;2;5,390120975310237e+16;339
CRR_399;16;12;59;37,997634207240964;7;5,390120975310237e+16;339
CRR_400;133;41;377;-74,71291235913193;4;5,390120975310237e+16;339
CRR_401;46;25;119;9,495000000000033;2;5,390120975310237e+16;339
CRR_402;13;6;171;-12,17449758842443;7;5,390120975310237e+16;339
CRR_403;16;9;70;14,364803149606303;1;5,390120975310237e+16;339
CRR_404;4;3;17;35,309411764705914;0;4;1
CRR_405;33;18;222;8,82409420289855;2;5,390120975310237e+16;339
CRR_406;25;10;171;-27,918570822731084;1;5,929133072841263e+16;1
CRR_407;21;13;56;21,840008992805792;3;5,390120975310237e+16;339
CRR_408;22;12;56;9,088292682926863;2;5,390120975310237e+16;339
CRR_409;13;6;56;-12,660892388451401;1;5,390120975310237e+16;339
CRR_410;22;14;83;24,03706689536881;5;3,023857867149043e+17;1
CRR_411;0;0;36;-9,16199999999995;1;5,390120975310237e+16;339
CRR_412;17;12;70;33,40440068493152;3;5,390120975310237e+16;339
CRR_413;8;6;34;40,052878787878825;2;5,390120975310237e+16;339
CRR_414;16;9;72;14,67122222222224;2;5,390120975310237e+16;339
CRR_415;57;33;251;17,139091772151914;5;5,390120975310237e+16;339
CRR_416;80;42;499;5,724119522563797;7;5,390120975310237e+16;339
CRR_417;27;11;116;-29,91899336283184;1;5,929133072841263e+16;1
CRR_418;16;12;115;38,037275641025644;2;5,390120975310237e+16;339
CRR_419;24;17;105;34,917333333333346;3;1,8380312525807917e+17;1
CRR_420;35;20;156;13,948889908256916;6;5,390120975310237e+16;339
CRR_421;18;12;101;28,863793103448273;0;18;1
CRR_422;72;46;333;26,019274877626117;8;5,390120975310237e+16;339
CRR_423;42;26;170;22,60724857685014;2;5,390120975310237e+16;339
CRR_424;36;23;209;25,88596438701549;4;5,390120975310237e+16;339
CRR_425;67;46;299;32,824446977002424;11;5,390120975310237e+16;339
CRR_426;8;5;28;21,567666666666668;4;1,7787399218523786e+17;1
CRR_427;16;6;119;-43,00166666666665;6;5,390120975310237e+16;339
CRR_428;9;4;118;-9,54910204081628;5;5,390120975310237e+16;339
CRR_429;39;25;254;26,183974558303902;12;5,390120975310237e+16;339
CRR_430;21;14;66;30,31907512953373;3;5,390120975310237e+16;339
CRR_431;25;17;78;31,162352941176493;1;5,390120975310237e+16;339
CRR_432;16;10;117;25,09986151603499;3;5,390120975310237e+16;339
CRR_433;11;7;59;24,593444444444458;2;5,390120975310237e+16;339
CRR_434;13;9;37;30,97083841463416;0;13;1
CRR_435;12;6;88;-2,222083333333302;0;12;1
CRR_436;19;5;51;-112,11788819875773;2;5,390120975310237e+16;339
CRR_437;23;14;76;19,818470319634713;10;5,390120975310237e+16;339
CRR_438;37;15;110;-27,438124999999957;8;5,390120975310237e+16;339
CRR_439;20;6;53;-82,61683734939756;0;20;1
CRR_440;8;5;29;24,163172043010775;0;8;1
CRR_441;10;7;44;32,84763358778628;1;5,390120975310237e+16;339
CRR_442;17;5;95;-79,88656862745093;0;17;1
CRR_443;9;5;44;15,892083832335373;0;9;1
CRR_444;26;7;59;-105,18857142857141;1;33,7;1
CRR_445;9;6;18;27,46333333333334;1;5,390120975310237e+16;339
CRR_446;5;2;25;-23,746428571428538;1;5,390120975310237e+16;339
CRR_447;8;2;51;-121,08962264150941;0;8;1
CRR_448;3;1;29;-45,159705882352895;0;3;1
CRR_449;165;10;247;-867,4604708520178;2;5,390120975310237e+16;339
CRR_450;18;6;159;-57,10966863905321;1;5,390120975310237e+16;339
CRR_451;11;7;58;23,559130434782645;2;5,390120975310237e+16;339
CRR_452;44;13;264;-81,29961538461535;3;5,390120975310237e+16;339
CRR_453;6;2;68;-67,67666666666663;1;5,390120975310237e+16;339
CRR_454;4;2;15;0,644310344827602;4;5,390120975310237e+16;339
CRR_455;31;8;97;-108,831143533123;4;5,390120975310237e+16;339
CRR_456;30;16;122;9,012834101382538;39;5,390120975310237e+16;339
CRR_457;42;9;66;-162,40402597402593;256;5,390120975310237e+16;339
CRR_458;87;54;370;22,835137614678928;37;5,390120975310237e+16;339
CRR_459;23;10;49;-19,802317073170713;37;5,390120975310237e+16;339
CRR_460;15;13;72;48,9187354651163;3;5,390120975310237e+16;339
CRR_461;25;18;92;36,104744346116036;4;2,3716532291365046e+17;1
CRR_462;12;10;69;50,78331673306775;6;5,390120975310237e+16;339
CRR_463;4;2;26;9,18285310734467;0;4;1
CRR_464;9;7;19;46,147598039215694;0;9;1
CRR_465;7;7;29;62,82010135135138;1;5,9291330728412616e+16;1
CRR_466;7;4;25;8,068706896551731;1;10,3;1
CRR_467;9;7;67;40,746552419354856;2;32,870000000000005;1
CRR_468;25;18;87;36,59208333333336;4;5,254879932204198e+17;8
CRR_469;46;24;104;4,9283266309204805;4;5,254879932204198e+17;8
CRR_470;9;6;65;33,224795539033465;6;1,1858266145682536e+17;1
CRR_471;8;4;51;2,9933540723982333;1;5,9291330728412616e+16;1
CRR_472;25;20;184;45,6021109454027;4;5,254879932204198e+17;8
CRR_473;30;24;105;43,758877077696184;1;3,261023190062696e+17;1
CRR_474;21;9;25;-22,147349397590332;3;5,254879932204198e+17;8
CRR_475;20;13;106;29,741929824561424;2;5,254879932204198e+17;8
CRR_476;20;9;25;-13,33499999999998;3;5,254879932204198e+17;8
CRR_477;16;11;103;32,05723356009074;2;5,254879932204198e+17;8
CRR_478;20;13;94;28,335172413793117;8;5,254879932204198e+17;8
CRR_479;14;9;107;26,58532142857146;1;20,6;1
CRR_480;5;5;38;60,18562130177517;3;2,473159987343548e+18;1
CRR_481;31;26;151;49,34036808300398;10;2,964566536420632e+17;1
CRR_482;3;2;18;24,92448630136991;1;5,390120975310237e+16;339
CRR_483;21;15;232;35,87964437117287;12;5,390120975310237e+16;339
CRR_484;16;12;106;40,745054054054066;14;5,390120975310237e+16;339
CRR_485;3;2;31;42,823008474576284;2;5,390120975310237e+16;339
CRR_486;53;32;132;21,39083333333336;4;5,390120975310237e+16;339
CRR_487;9;6;72;31,284993932038844;7;4,1503931509888826e+17;1
CRR_488;4;3;19;49,83451612903227;3;1,1858266145682522e+17;1
CRR_489;28;19;137;31,070182602921676;4;5,390120975310237e+16;339
CRR_490;24;18;135;38,829774982888466;4;5,390120975310237e+16;339
CRR_491;10;6;27;21,36142857142859;5;1,7787399218523782e+17;1
CRR_492;19;15;92;43,898430232558155;11;2,952493542036704e+18;1
CRR_493;56;20;243;-48,51244201030924;28;1,2095431468596178e+18;1
CRR_494;0;0;5;4,353855421686774;1;5,929133072841261e+16;1
CRR_495;35;25;126;34,856342975206644;2;1,9566139140376176e+17;1
CRR_496;13;8;69;24,108333333333377;1;5,929133072841262e+16;1
CRR_497;14;9;79;24,655709969788518;1;5,929133072841262e+16;1
CRR_498;9;6;51;32,44780219780222;0;9;1
CRR_499;6;4;53;35,26014354066987;5;5,390120975310237e+16;339
CRR_500;31;22;128;36,26247518610427;1;5,929133072841264e+16;1
CRR_501;19;14;97;38,72535714285715;1;24,5;1
CRR_502;23;13;77;13,568232436472385;1;30,700000000000003;1
CRR_503;14;8;110;18,167243867243883;4;2,430944559864917e+17;1
CRR_504;6;3;14;-2,2724999999999795;1;5,9291330728412616e+16;1
CRR_505;7;3;19;-20,131408450704214;0;7;1
CRR_506;1;1;15;32,58278169014085;1;5,929133072841261e+16;1
CRR_507;16;8;36;-2,942499999999967;1;5,929133072841262e+16;1
CRR_508;10;8;50;43,44818181818184;2;5,390120975310237e+16;339
CRR_509;106;46;416;-17,946070953972537;7;5,390120975310237e+16;339
CRR_510;26;14;116;10,480294117647077;3;5,390120975310237e+16;339
CRR_511;101;34;318;-58,39286986887113;8;5,390120975310237e+16;339
CRR_512;2;1;6;18,18500000000003;0;2;1
CRR_513;6;3;49;6,610086206896568;0;6;1
CRR_514;4;2;15;10,279545454545485;1;6,2;1
CRR_515;13;9;57;33,484347826086974;0;13;1
CRR_516;2;1;5;27,343571428571465;0;2;1
CRR_517;4;2;18;-3,8936842105262883;0;4;1
CRR_518;7;4;23;18,9558734939759;0;7;1
CRR_519;3;2;24;24,907804878048836;1;5,929133072841261e+16;1
CRR_520;147;76;611;3,7783853524983044;6;4,45277893770379e+17;1
CRR_521;12;9;36;43,16266141732285;4;2,555456354394588e+17;1
