article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRR_11;51;30;167;18,766762073027138;4;5,390120975310237e+16;339
CRR_12;5;2;23;-32,98328767123286;0;5;1
CRR_13;26;17;86;29,642783676177856;9;2,964566536420632e+17;1
CRR_14;29;17;84;16,666000000000025;5;2,4309445598649184e+17;1
CRR_15;27;11;122;-26,091095713229834;8;4,743306458273009e+17;1
CRR_16;9;4;20;-20,061392405063245;1;5,9291330728412616e+16;1
CRR_17;17;11;63;27,37500000000003;1;5,2176371041003104e+17;1
CRR_18;56;35;202;23,660464846416403;1;84,6;1
CRR_19;4;2;69;-1,4709400948991629;1;32,6;1
CRR_20;71;48;323;31,185131752828028;12;5,390120975310237e+16;339
CRR_21;26;16;167;22,15558027923214;1;6,225589726483345e+16;2
CRR_22;5;2;22;-28,373421052631556;3;5,929133072841268e+16;1
CRR_23;11;5;15;-9,830526315789456;1;5,9291330728412616e+16;1
CRR_24;3;2;20;37,30000000000001;0;3;1
CRR_25;0;0;3;49,78250000000003;0;0;1
CRR_26;31;20;176;26,0029504504505;3;5,390120975310237e+16;339
CRR_27;15;8;79;5,243157894736839;2;5,390120975310237e+16;339
CRR_28;85;39;336;-10,48905377094971;3;5,390120975310237e+16;339
CRR_29;47;28;127;19,9198596491228;1;5,390120975310237e+16;339
CRR_30;7;3;25;-15,012409638554189;2;1,1858266145682522e+17;1
CRR_31;6;3;57;2,4028571428571865;2;5,390120975310237e+16;339
CRR_32;5;3;41;25,345000000000027;0;5;1
CRR_33;7;5;64;36,71488805970151;0;7;1
CRR_34;8;4;19;7,497173913043497;1;118,00000000000001;1
CRR_35;7;5;20;32,67429104477614;1;14,700000000000001;1
CRR_36;25;12;151;-4,699701393497008;10;5,390120975310237e+16;339
CRR_37;10;4;30;-37,27868421052628;0;10;1
CRR_38;15;9;81;21,942662568748005;1;5,929133072841262e+16;1
CRR_39;15;8;93;3,8547692307692785;0;15;1
CRR_40;4;2;21;-4,997105263157863;1;5,929133072841261e+16;1
CRR_41;12;8;64;28,69118483412325;1;5,929133072841262e+16;1
CRR_42;20;4;53;-178,19493775933609;1;5,929133072841262e+16;1
CRR_43;3;1;29;-72,61803149606297;0;3;1
CRR_44;8;3;27;-39,330999999999975;1;5,390120975310237e+16;339
CRR_45;18;5;41;-100,87075471698111;1;5,390120975310237e+16;339
CRR_46;39;22;140;13,862598054119815;7;1,77873992185238e+17;1
CRR_47;7;4;29;22,01370481927711;4;5,390120975310237e+16;339
CRR_48;35;21;129;20,53941176470593;5;5,390120975310237e+16;339
CRR_49;57;29;288;1,0596770147381847;3;5,390120975310237e+16;339
CRR_50;8;6;18;35,72184782608696;8;5,390120975310237e+16;339
CRR_51;3;2;12;43,53995762711867;1;5,390120975310237e+16;339
CRR_52;86;27;233;-70,496625282167;3;5,390120975310237e+16;339
CRR_53;12;5;43;-18,617561349693233;1;5,929133072841262e+16;1
CRR_54;48;31;121;26,83747312394607;2;1,1858266145682526e+17;1
CRR_55;6;4;25;26,45279069767443;1;5,9291330728412616e+16;1
CRR_56;27;5;56;-200,54859999999996;2;5,390120975310237e+16;339
CRR_57;19;4;53;-172,03653846153844;1;5,390120975310237e+16;339
CRR_58;12;5;26;-29,886516853932548;1;5,929133072841262e+16;1
CRR_59;12;5;41;-18,758076923076885;1;5,929133072841262e+16;1
CRR_60;40;24;139;20,144099099099122;5;5,390120975310237e+16;339
CRR_61;1;1;10;47,792;2;5,929133072841262e+16;1
CRR_62;4;2;33;-7,408443396226403;5;5,390120975310237e+16;339
CRR_63;168;14;240;-601,4316279069767;2;5,390120975310237e+16;339
CRR_64;3;1;17;-41,84205882352937;0;3;1
CRR_65;4;3;20;41,45000000000002;1;5,929133072841261e+16;1
CRR_66;12;3;39;-114,54656626506022;1;5,390120975310237e+16;339
CRR_67;18;4;53;-152,9732876712328;1;5,929133072841262e+16;1
CRR_68;12;5;27;-26,274999999999977;1;5,929133072841262e+16;1
CRR_69;18;5;41;-93,58961538461534;1;5,929133072841262e+16;1
CRR_70;40;25;139;24,014828687572617;5;5,390120975310237e+16;339
CRR_71;1;1;9;61,75000000000003;2;5,390120975310237e+16;339
CRR_72;2;2;5;74,78928571428573;0;2;1
CRR_73;17;12;132;36,03017857142862;0;17;1
CRR_74;11;6;34;7,347110389610435;0;11;1
CRR_75;13;5;24;-41,43499999999996;3;1,897322583309204e+17;1
CRR_76;7;4;82;21,72139712918664;6;3,794645166618408e+17;1
CRR_77;12;5;25;-26,236883116883092;0;12;1
CRR_78;31;17;140;10,358750000000015;5;5,390120975310237e+16;339
CRR_79;13;8;63;19,382246376811622;0;13;1
CRR_80;20;12;79;21,669901185770783;2;5,390120975310237e+16;339
CRR_81;6;3;42;8,698464285714294;0;6;1
CRR_82;7;2;28;-79,13934782608695;0;7;1
CRR_83;13;7;78;9,45736543909348;2;1,1858266145682523e+17;1
CRR_84;75;42;206;13,052933333333357;11;1,4063903648779476e+18;1
CRR_85;47;26;107;11,851334951456323;8;4,209684481717296e+17;1
CRR_86;8;3;18;-37,27868421052628;1;1,5470294013657426e+18;1
CRR_87;44;25;103;14,346790201005035;8;4,209684481717296e+17;1
CRR_88;6;3;17;4,437500000000028;1;1,5470294013657426e+18;1
CRR_89;20;13;89;28,922936416184996;0;20;1
CRR_90;4;3;14;38,11169811320758;2;5,390120975310237e+16;339
CRR_91;9;7;44;42,184671232876724;2;45,3;1
CRR_92;59;30;133;2,6437500000000114;13;5,390120975310237e+16;339
CRR_93;23;19;105;46,368439024390284;0;23;1
CRR_94;18;13;72;37,62557629870133;1;5,390120975310237e+16;339
CRR_95;15;12;67;43,04654411764707;3;5,390120975310237e+16;339
CRR_96;6;4;61;27,266717687074845;3;5,390120975310237e+16;339
CRR_97;12;9;81;41,6024864864865;3;5,390120975310237e+16;339
CRR_98;11;7;64;21,764301369863034;3;5,390120975310237e+16;339
CRR_99;46;30;173;28,415143122676625;2;5,390120975310237e+16;339
CRR_100;7;4;26;17,9470918367347;1;5,390120975310237e+16;339
CRR_101;28;16;169;15,85705706874191;1;5,390120975310237e+16;339
CRR_102;10;9;34;56,239717920353996;4;5,390120975310237e+16;339
CRR_103;36;14;73;-34,86341530054641;0;36;1
CRR_104;33;17;85;5,191538461538471;2;5,390120975310237e+16;339
CRR_105;100;59;354;18,062582417582433;0;100;1
CRR_106;37;23;85;24,701440642163078;1;5,390120975310237e+16;339
CRR_107;15;10;105;29,622382736156368;3;5,390120975310237e+16;339
CRR_108;0;0;30;32,19000838926175;4;2,3716532291365043e+17;1
CRR_109;12;7;51;20,831198501872677;20;6,522046380125391e+17;1
CRR_110;24;15;107;23,000463796058284;13;5,390120975310237e+16;339
CRR_111;21;14;86;29,92195150501675;5;5,390120975310237e+16;339
