article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_1;2;1;15;2,3884615384615415;2;78;152;39,0;1,9487179487179487;0;2;1
CRD_2;15;7;106;-9,774551971326133;9;496;942;55,111111111111114;1,8991935483870968;1;4,799932311538669e+22;1
CRD_3;83;17;329;-173,6172064056939;7;1686;2710;240,85714285714286;1,6073546856465006;7;4,3635748286715165e+22;482
CRD_4;37;25;132;31,855466824644566;20;422;766;21,1;1,8151658767772512;0;37;1
CRD_5;2;1;16;11,998040540540558;2;37;77;18,5;2,081081081081081;0;2;1
CRD_6;28;9;65;-68,43603448275859;2;232;432;116,0;1,8620689655172413;1;68,7;1
CRD_7;4;2;13;3,380000000000024;2;80;154;40,0;1,925;0;4;1
CRD_8;20;14;96;34,21913763066203;14;287;515;20,5;1,7944250871080138;5;4,3635748286715165e+22;482
CRD_8a;21;14;142;30,072538057742833;15;508;855;33,86666666666667;1,6830708661417322;3;1,4399796934616005e+23;1
CRD_9;8;6;58;37,799945355191284;9;183;321;20,333333333333332;1,7540983606557377;0;8;1
CRD_10;11;6;37;11,449125683060146;6;122;252;20,333333333333332;2,0655737704918034;1;4,3635748286715165e+22;482
CRD_11;3;2;10;29,180000000000007;1;25;45;25,0;1,8;0;3;1
CRD_12;10;8;43;45,047159833630445;9;187;311;20,77777777777778;1,6631016042780749;2;4,3635748286715165e+22;482
CRD_13;7;5;38;41,317430656934334;5;137;223;27,4;1,6277372262773722;1;4,3635748286715165e+22;482
CRD_14;33;19;131;16,93798591239272;11;413;741;37,54545454545455;1,7941888619854722;3;4,3635748286715165e+22;482
CRD_15;7;4;29;8,667500000000018;2;80;149;40,0;1,8625;0;7;1
CRD_16;29;15;89;4,125;7;270;522;38,57142857142857;1,9333333333333333;0;29;1
CRD_17;11;7;32;28,948750000000018;2;64;110;32,0;1,71875;13;5,567921481384856e+23;1
CRD_18;15;3;83;-175,29749999999996;1;240;393;240,0;1,6375;6;4,3635748286715165e+22;482
CRD_19;2;1;17;16,553598901098923;2;91;155;45,5;1,7032967032967032;0;2;1
