article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_1;3;1;19;-45,62444444444442;1;81;163;81,0;2,0123456790123457;0;3;1
CRD_2;21;11;120;7,098638083228252;13;549;1018;42,23076923076923;1,854280510018215;4;1,6905890806183107e+20;1
CRD_3;84;17;331;-175,7027085781433;7;1702;2731;243,14285714285714;1,6045828437132785;7;5,122997213994881e+19;411
CRD_4;37;25;132;31,65499289099526;20;422;767;21,1;1,8175355450236967;0;37;1
CRD_5;2;1;16;-9,310000000000002;1;40;83;40,0;2,075;0;2;1
CRD_6;28;9;65;-68,43603448275859;2;232;432;116,0;1,8620689655172413;1;68,7;1
CRD_7;4;2;13;3,380000000000024;2;80;154;40,0;1,925;0;4;1
CRD_8;20;14;96;33,92436411149825;14;287;516;20,5;1,7979094076655053;5;5,122997213994881e+19;411
CRD_9;8;6;58;38,26224043715851;9;183;320;20,333333333333332;1,7486338797814207;0;8;1
CRD_10;11;6;37;11,449125683060146;6;122;252;20,333333333333332;2,0655737704918034;1;5,122997213994881e+19;411
CRD_11;3;2;10;29,180000000000007;1;25;45;25,0;1,8;0;3;1
CRD_12;10;8;43;45,047159833630445;9;187;311;20,77777777777778;1,6631016042780749;2;5,122997213994881e+19;411
CRD_13;7;5;38;41,317430656934334;5;137;223;27,4;1,6277372262773722;1;5,122997213994881e+19;411
CRD_14;33;19;131;16,93798591239272;11;413;741;37,54545454545455;1,7941888619854722;3;5,122997213994881e+19;411
CRD_15;7;4;29;8,667500000000018;2;80;149;40,0;1,8625;0;7;1
CRD_16;29;15;89;4,125;7;270;522;38,57142857142857;1,9333333333333333;0;29;1
CRD_17;11;7;32;28,948750000000018;2;64;110;32,0;1,71875;13;6,536944445057469e+20;1
CRD_18;13;3;72;-130,35461538461536;1;195;321;195,0;1,646153846153846;5;5,122997213994881e+19;411
CRD_19;2;1;17;16,553598901098923;2;91;155;45,5;1,7032967032967032;0;2;1
CRD_20;11;8;71;35,18867567567571;10;148;274;14,8;1,8513513513513513;5;2,817648467697185e+20;1
CRD_21;8;7;39;50,89698198198201;6;148;229;24,666666666666668;1,5472972972972974;19;1,4122054120098292e+21;1
CRD_21a;209;108;627;3,7551307833412864;41;1795;3366;43,78048780487805;1,875208913649025;11;5,122997213994881e+19;411
CRD_21b;63;40;253;26,119521829521858;26;888;1533;34,15384615384615;1,7263513513513513;2;5,122997213994881e+19;411
CRD_22;55;39;265;35,024720670391076;29;716;1242;24,689655172413794;1,73463687150838;2;5,122997213994881e+19;411
CRD_23;32;18;167;13,97285714285718;12;504;895;42,0;1,7757936507936507;2;5,122997213994881e+19;411
CRD_24;18;9;83;-2,376811594202877;6;230;463;38,333333333333336;2,0130434782608697;0;18;1
CRD_25;10;6;51;24,01180048661803;3;137;221;45,666666666666664;1,6131386861313868;0;10;1
CRD_26;22;13;91;16,218484848484877;7;297;518;42,42857142857143;1,7441077441077442;10;5,122997213994881e+19;411
CRD_27;4;2;43;12,582916666666705;3;160;265;53,333333333333336;1,65625;4;1,6905890806183107e+20;1
CRD_28;2;2;12;72,85019067796611;4;59;83;14,75;1,4067796610169492;2;5,122997213994881e+19;411
CRD_29;13;9;71;33,905993150684964;8;292;469;36,5;1,606164383561644;4;5,122997213994881e+19;411
CRD_30;6;4;13;32,75769230769234;1;39;62;39,0;1,5897435897435896;0;6;1
CRD_31;9;5;72;12,591666666666669;5;270;445;54,0;1,6481481481481481;1;5,122997213994881e+19;411
CRD_32;16;15;153;55,420803212851425;15;415;605;27,666666666666668;1,4578313253012047;3;1,1270593870788739e+20;1
