article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_120;5;3;66;29,25083333333336;9;240;427;26,666666666666668;1,7791666666666666;0;5;1
CRD_121;4;2;21;-14,106249999999989;1;64;118;64,0;1,84375;1;2,2210363476697925e+22;475
CRD_122;9;5;53;9,726811594202928;6;184;361;30,666666666666668;1,9619565217391304;2;2,2210363476697925e+22;475
CRD_123;13;7;50;7,587908163265325;6;147;303;24,5;2,061224489795918;1;2,443139982436772e+22;1
CRD_124;21;11;112;2,7722321428571775;8;315;611;39,375;1,9396825396825397;4;7,329419947310315e+22;1
CRD_125;27;14;121;4,7400117056856175;10;299;607;29,9;2,0301003344481607;3;2,2210363476697925e+22;475
CRD_126;7;3;17;-20,53076923076921;1;65;124;65,0;1,9076923076923078;0;7;1
CRD_127;38;21;147;12,499375000000043;16;470;914;29,375;1,9446808510638298;2;2,443139982436772e+22;1
CRD_128;77;32;118;-23,687999999999988;5;441;735;88,2;1,6666666666666667;12;2,2210363476697925e+22;475
CRD_129;12;9;35;38,45625000000001;4;141;221;35,25;1,5673758865248226;2;2,2210363476697925e+22;475
CRD_130;12;8;40;31,552034883720978;6;129;234;21,5;1,813953488372093;3;2,2210363476697925e+22;475
CRD_131;149;94;710;24,911786469344605;66;2064;3664;31,272727272727273;1,7751937984496124;2;2,2210363476697925e+22;475
CRD_133;136;84;633;23,170111667108102;52;2033;3460;39,09615384615385;1,7019183472700443;6;2,2210363476697925e+22;475
CRD_134;11;9;62;48,347589118198925;13;246;405;18,923076923076923;1,646341463414634;1;2,2210363476697925e+22;475
CRD_135;22;11;72;-2,17809523809521;6;280;535;46,666666666666664;1,9107142857142858;1;2,2210363476697925e+22;475
CRD_136;55;36;245;29,063681953867047;25;737;1288;29,48;1,7476255088195387;3;2,2210363476697925e+22;475
CRD_137;17;9;69;7,865000000000009;5;230;414;46,0;1,8;2;2,2210363476697925e+22;475
CRD_138;7;2;35;-86,0976470588235;1;136;249;136,0;1,8308823529411764;0;7;1
CRD_139;32;19;132;19,008644067796638;14;472;857;33,714285714285715;1,8156779661016949;2;2,2210363476697925e+22;475
CRD_140;101;54;292;7,384389867489801;19;989;1714;52,05263157894737;1,7330637007077856;6;2,2210363476697925e+22;475
CRD_141;101;60;328;18,83919272962663;24;1223;1970;50,958333333333336;1,6107931316434996;3;2,2210363476697925e+22;475
CRD_141a;49;14;46;-90,35999999999999;1;165;253;165,0;1,5333333333333334;3;7,329419947310315e+22;1
CRD_141b;82;50;330;21,796897233201605;23;1056;1728;45,91304347826087;1,6363636363636365;5;2,2210363476697925e+22;475
CRD_141c;10;6;29;22,677133027522956;2;109;166;54,5;1,5229357798165137;3;7,329419947310315e+22;1
CRD_142;42;26;109;23,216025773195895;10;291;530;29,1;1,8213058419243986;2;4,886279964873544e+22;1
CRD_143;19;12;78;23,931931506849338;10;292;529;29,2;1,8116438356164384;3;2,2210363476697925e+22;475
CRD_144;25;11;85;-17,292391681109166;7;577;958;82,42857142857143;1,660311958405546;3;2,2210363476697925e+22;475
CRD_145;14;4;73;-95,84632736156348;2;307;533;153,5;1,736156351791531;22;2,2210363476697925e+22;475
CRD_146;6;4;17;28,306275510204102;2;49;89;24,5;1,816326530612245;2;2,443139982436772e+22;1
CRD_147;4;4;14;57,232421052631594;5;57;93;11,4;1,631578947368421;0;4;1
CRD_148;12;10;72;47,86935185185186;14;243;406;17,357142857142858;1,6707818930041152;1;2,2210363476697925e+22;475
CRD_149;3;2;26;19,132903225806473;4;124;229;31,0;1,846774193548387;0;3;1
CRD_150;10;6;35;23,441492227979296;5;193;329;38,6;1,7046632124352332;2;2,443139982436772e+22;1
CRD_151;6;4;40;33,14640037593986;4;133;220;33,25;1,6541353383458646;8;1,5147467891107985e+23;1
CRD_152;11;6;21;5,3053658536585715;2;82;155;41,0;1,8902439024390243;1;22,0;1
CRD_153;18;12;81;28,79595454545455;10;275;488;27,5;1,7745454545454546;0;18;1
CRD_154;3;2;29;15,213699633699662;3;91;173;30,333333333333332;1,901098901098901;1;22,8;1
CRD_155;6;4;28;29,348366666666664;6;125;231;20,833333333333332;1,848;2;4,886279964873544e+22;1
CRD_156;10;5;32;1,9105072463768238;3;92;189;30,666666666666668;2,0543478260869565;0;10;1
CRD_157;12;5;40;-24,03263513513511;2;111;229;55,5;2,063063063063063;0;12;1
CRD_158;33;23;196;32,62335542009012;22;686;1156;31,181818181818183;1,685131195335277;9;2,24768878384183e+23;1
CRD_159;6;5;33;42,71590604026849;7;149;251;21,285714285714285;1,6845637583892616;2;2,443139982436772e+22;1
CRD_159a;12;7;37;14,699783834586498;4;133;249;33,25;1,8721804511278195;1;2,443139982436772e+22;1
CRD_160;35;23;155;29,792724014336926;18;496;874;27,555555555555557;1,7620967741935485;9;2,0278061854225207e+23;1
CRD_161;46;31;213;31,27764925373137;28;670;1198;23,928571428571427;1,7880597014925372;7;1,2460013910427537e+23;1
